"pid","popgrp","mar","rel","geo2011","ppincome","hhsizer","age","anni_convivenza","anni_istruzione"
305825,1,1,2,3,2350,2,40,22,12
308194,1,1,2,1,476.1630859375,7,49,25,4
402162,1,1,2,2,9300,2,25,2,13.5
323264,2,1,2,2,1701.9998046875,5,46,21,12
323265,2,1,2,2,1701.9998046875,5,55,21,12
706077,1,2,2,2,1806.29943847656,4,28,12,9.5
311025,1,2,2,2,1806.29943847656,4,38,12,10.5
307380,1,2,1,2,6750,2,44,4,11
733571,1,2,2,2,6750,2,34,4,13.5
719434,2,1,2,2,472,5,52,31,7
322318,2,2,2,2,472,5,26,6,8
732276,1,1,2,1,1098.39444986979,6,51,29,7
763747,1,1,2,1,3833.33333333333,3,41,3,9.5
301437,1,2,2,2,12000,1,54,30,12.5
313550,3,2,5,3,2233.33333333333,3,60,36,4
708269,1,1,2,1,193.333333333333,3,37,2,12
309651,1,1,2,1,193.333333333333,3,36,2,11
736872,2,1,2,2,1400,8,47,20,5
754419,2,1,2,2,1400,8,47,20,9
320913,1,1,2,1,4789.209765625,5,48,19,12
320912,1,1,2,1,4789.209765625,5,44,19,12.5
323188,4,1,2,2,23000,2,57,33,16
323105,4,1,2,2,23000,2,57,33,16
501187,1,1,2,2,2192.4068359375,5,69,42,7
311357,1,1,2,2,2192.4068359375,5,69,42,6
321862,4,1,2,2,18350,2,58,34,12
321863,4,1,2,2,18350,2,59,34,13.5
770086,1,2,1,2,999.232299804688,2,54,34,6
318869,1,2,1,2,999.232299804688,2,53,7,7
316577,1,1,2,1,4749.999609375,5,48,20,15
306333,2,1,4,2,16882.7643229167,6,42,18,15
320127,1,2,2,1,1407.50130208333,3,44,12,9
319638,4,1,2,3,35150,2,69,45,16
320761,4,1,2,3,35150,2,71,45,18.5
763087,1,1,2,1,1200,2,24,1,8
409351,1,1,2,1,1200,2,19,1,9
306889,4,1,2,2,3050,2,65,40,10
311492,4,1,2,2,3050,2,60,40,10
305102,1,1,2,1,2929.75944010417,3,46,9,11
785864,1,2,2,1,2117.25,4,47,5,5
314990,1,2,6,1,2117.25,4,49,5,10
302157,1,1,2,2,1583.33333333333,3,53,27,10
316812,1,1,2,1,317,10,28,10,8
730991,1,1,2,1,317,10,71,25,0
734730,1,1,2,1,317,10,32,10,11
321676,2,1,2,2,1970,3,48,17,9
582131,2,1,2,2,1970,3,41,19,7
783025,2,1,2,2,2800,2,51,5,9.5
323627,2,1,2,2,2800,2,66,5,9
318054,1,1,6,1,670.859895833333,15,60,38,0
723043,1,2,6,1,670.859895833333,15,34,1,11
318048,1,1,6,1,670.859895833333,15,65,38,0
762911,1,2,6,1,670.859895833333,15,27,4,7
318959,1,1,2,1,545.72900390625,8,78,40,0
764346,1,1,2,1,545.72900390625,8,61,40,4
302929,1,1,2,1,870,6,66,40,4
730163,1,1,2,1,870,6,64,40,5
639750,4,1,1,2,7100,4,42,10,13.5
604201,4,1,1,2,7100,4,54,10,13.5
604269,4,1,2,2,13500,4,61,37,13.5
789314,1,2,2,1,597.777777777778,9,28,3,6
309161,1,2,2,2,1390,2,51,4,9
780986,1,2,2,2,1390,2,57,4,10
319476,1,1,2,1,1190,2,65,46,8
782944,1,1,6,3,617.160714285714,7,65,40,0
768303,1,1,6,3,617.160714285714,7,60,40,0
302524,1,1,1,2,3500,2,26,1,16.5
798124,1,1,2,2,3500,2,23,1,10
304047,1,1,6,1,925,4,41,12,11
304048,1,1,2,1,925,4,38,12,11
755664,1,1,2,2,441.666666666667,12,50,20,5
704095,1,1,2,2,441.666666666667,12,68,20,7
309117,1,1,2,2,1550,2,65,14,7
309158,1,1,2,2,1550,2,57,14,7
313213,1,1,2,1,900,4,64,39,0
313212,1,1,2,1,900,4,69,39,4
781262,1,1,2,1,307.7869140625,10,52,22,4
320351,1,1,2,1,186.666666666667,3,32,7,10
767108,1,1,2,1,186.666666666667,3,29,7,9
323155,2,1,2,2,1800,2,60,36,7
323162,2,1,2,2,1800,2,55,36,6
307439,4,1,7,2,14714.1015625,2,77,16,13.5
307440,4,1,7,2,14714.1015625,2,69,16,12
730561,1,1,2,2,2450.0234375,4,45,18,11
318626,1,2,2,1,1223.0419921875,1,36,1,12
319800,4,1,2,2,7250,2,53,22,13.5
613891,1,1,2,2,3638.60763888889,9,59,40,12.5
641134,1,1,2,2,3638.60763888889,9,61,40,11
784333,1,1,2,2,950,6,39,14,12
793322,1,1,2,2,950,6,45,14,11
305592,1,1,2,2,975,2,45,23,10
305587,1,1,2,2,975,2,47,23,0
305897,1,1,2,1,1280,8,41,17,9
502033,2,1,2,2,733.333333333333,3,53,23,9
323387,2,1,2,2,733.333333333333,3,54,23,7
759362,1,1,2,2,2832,5,23,1,12.5
405522,1,1,2,2,2832,5,25,1,12
751350,2,2,2,3,949.961763822115,13,45,21,7
322148,1,1,2,3,949.961763822115,13,61,10,6
796145,2,2,2,3,949.961763822115,13,44,21,7
391199,1,1,2,3,949.961763822115,13,50,10,4
322970,1,2,2,3,949.961763822115,13,26,6,10
712897,2,2,2,3,949.961763822115,13,23,5,9
702840,1,1,6,2,787.244506835938,4,52,19,11
776872,1,1,2,2,787.244506835938,4,50,19,10
310925,1,1,2,2,515,4,45,16,11
323425,2,1,2,2,7500,3,56,33,10
570497,4,1,2,2,18474.4973958333,3,42,10,16.5
391235,4,1,2,2,18474.4973958333,3,51,10,12.5
693105,1,1,2,2,3885.1640625,4,49,17,13.5
311642,1,1,2,1,1550,1,68,45,7
319498,1,1,2,1,2050,2,73,46,6
319497,1,1,2,1,2050,2,68,46,5
306238,1,1,2,2,1284.54545454545,11,61,10,4
723208,2,1,2,2,1284.54545454545,11,56,10,8
306906,1,1,2,3,1876.02018229167,3,67,50,0
388200,1,1,2,3,1876.02018229167,3,37,50,0
303169,1,2,2,1,475.84716796875,5,33,6,12
308468,1,1,2,2,350,6,61,25,7
304095,1,1,2,2,350,6,62,25,8
305812,1,1,2,1,250,4,37,1,11
776300,1,1,2,1,250,4,26,1,11
308544,1,1,2,3,717.254611545139,9,38,10,9.5
321754,1,1,2,2,3550.04609375,5,58,26,7
321755,1,1,2,2,3550.04609375,5,55,26,7
501888,1,1,2,1,1378.89675071023,11,70,35,0
318001,1,1,2,1,1378.89675071023,11,70,35,2
301915,1,1,2,1,6200,1,32,10,11
734421,1,1,2,1,508,5,34,9,9.5
305440,1,1,2,1,508,5,30,9,10.5
323021,1,2,2,2,1625,4,32,5,12.5
305738,1,1,2,1,12500,2,29,1,12
305283,2,1,2,2,1798.36051432292,6,52,18,13.5
305282,2,1,2,2,1798.36051432292,6,57,18,10
321520,2,1,2,2,1210,8,54,23,7
321517,2,1,2,2,1210,8,48,23,7
725377,1,1,2,1,391.455169677734,4,46,27,10
658738,4,1,2,2,26308.6666666667,3,58,32,18.5
633792,4,1,2,2,26308.6666666667,3,58,32,13.5
725424,2,1,2,2,1215.72786458333,6,52,15,7
770222,1,1,2,1,1645,4,72,28,0
313935,1,1,2,1,1645,4,31,5,11
723505,1,2,2,3,618.571428571429,7,32,18,5
591262,1,1,2,1,880,2,44,2,11
669936,1,1,2,2,8950,4,37,4,12.5
622683,1,1,2,2,8950,4,40,4,15
312239,1,2,6,1,482.5,8,43,7,9
305853,1,2,2,1,460,3,29,5,9.5
318111,2,2,2,3,653.333333333333,3,26,6,11
758067,2,2,2,2,1233.33333333333,6,57,25,0
764374,2,2,2,2,1233.33333333333,6,50,25,8
320113,1,1,2,1,2514.02905273438,4,65,37,8
320125,1,1,2,1,2514.02905273438,4,55,37,8
731067,1,2,2,1,4200.69466145833,3,33,3,15
764129,1,2,2,1,4200.69466145833,3,26,3,12
323676,2,1,2,3,1364.66666666667,6,33,9,8
734643,2,1,2,3,1364.66666666667,6,38,9,7
304435,1,1,2,2,5400,3,37,4,12
641553,4,1,2,2,9000,5,36,12,12
601507,4,1,2,2,9000,5,36,12,13.5
305089,1,1,2,1,340,5,62,33,7
304691,1,1,2,1,340,5,65,33,0
581549,1,1,2,2,770,6,40,5,12
745636,1,1,2,2,770,6,49,5,12.5
305266,2,1,2,2,1672,5,62,32,9
305270,2,1,2,2,1672,5,56,32,9.5
717637,1,2,2,1,411.666666666667,6,24,10,9
748824,1,1,2,1,411.666666666667,6,51,34,5
712272,1,2,2,1,411.666666666667,6,29,10,7
724004,1,1,2,1,664.386596679688,4,60,38,4
320135,1,1,2,1,664.386596679688,4,56,38,4
301416,1,2,2,1,482.857142857143,7,26,1,9
770643,1,2,2,1,482.857142857143,7,30,1,10
323353,2,2,2,3,1917.23990885417,3,54,23,7
323354,2,2,2,3,1917.23990885417,3,54,23,2
764796,1,1,2,1,384.545454545455,11,51,1,6
316452,1,1,2,1,384.545454545455,11,65,1,0
301264,1,2,2,2,700,1,58,34,6
626874,4,1,2,2,8750,4,46,17,12.5
317421,1,1,2,1,943.427856445312,4,67,30,0
317420,1,1,2,1,943.427856445312,4,62,30,7
610817,4,1,2,2,3000,5,28,3,12.5
660957,4,1,2,2,3000,5,33,3,12.5
785709,1,1,2,2,5150,2,35,3,12.5
303226,1,1,2,2,5150,2,32,4,13.5
319152,1,1,2,1,1645,4,63,40,0
717913,1,1,2,1,1645,4,66,40,8
617029,1,2,2,2,616.63017578125,5,38,5,11
671509,1,2,2,2,616.63017578125,5,39,5,11
626518,4,1,1,2,17500,2,66,21,15
710875,2,1,2,2,3274.69287109375,4,55,32,9.5
323737,2,1,2,2,3274.69287109375,4,53,32,6
663196,4,1,2,2,17275,4,44,11,18.5
655316,4,1,2,2,17275,4,41,11,16
317403,1,1,2,1,155.566702706473,7,48,28,3
307153,1,1,1,1,155.566702706473,7,50,28,3
306265,2,1,2,2,1930,2,78,45,0
306264,1,1,2,2,1930,2,81,45,6
319386,1,1,2,1,1656.29016113281,4,82,61,0
319385,1,1,2,1,1656.29016113281,4,85,61,6
780989,1,1,2,2,3119.5,4,43,17,12.5
317273,3,1,2,3,3960,3,61,22,6
317272,3,1,2,3,3960,3,50,22,10
725667,1,1,2,1,1324.31103515625,3,70,50,0
307155,1,1,2,1,1324.31103515625,3,73,50,8
784930,1,2,2,1,975,4,52,8,3
321098,2,1,2,2,4160,5,43,17,12
319611,2,1,2,2,4160,5,43,17,12.5
635276,3,1,2,2,6508.125,2,62,37,9
616814,3,1,2,2,6508.125,2,55,37,10
686493,4,1,2,2,17150,2,67,12,12
685798,4,1,2,2,17150,2,71,12,10
582983,2,2,2,2,1120,5,49,20,9.5
608187,4,1,2,2,7500,2,80,59,9.5
682580,4,1,2,2,7500,2,84,59,12
304178,1,2,6,2,1126.66666666667,3,39,2,10
756613,1,2,1,2,1126.66666666667,3,31,2,9
322132,2,1,2,2,1584,5,49,13,5
322449,2,1,2,2,1584,5,40,13,12.5
703122,1,2,2,2,316.666666666667,9,41,15,10
310089,1,2,2,2,18500,1,50,27,12
307301,1,1,2,2,1500,2,67,32,8
307330,1,1,2,2,1500,2,73,32,11
302530,1,1,2,1,4015.2421875,4,92,63,0
302529,1,1,2,1,4015.2421875,4,77,63,0
615720,4,2,2,2,3846.15384615385,13,31,5,10
655666,4,2,2,2,3846.15384615385,13,36,5,11
313788,1,2,2,3,2692,5,65,29,4
316968,1,2,2,3,2692,5,53,29,10
304428,1,1,2,1,446.153846153846,13,68,54,0
303628,1,1,1,1,446.153846153846,13,77,54,0
730617,1,1,2,1,1369.26627604167,3,44,7,12.5
381513,1,1,1,1,1369.26627604167,3,41,7,9.5
582709,1,2,1,1,6122.51041666667,3,39,3,12
785825,1,2,2,1,6122.51041666667,3,33,4,15
315144,1,2,2,1,567.156901041667,6,53,10,7
303760,1,2,2,1,4083.95849609375,1,67,45,0
320905,2,1,2,2,1565.71428571429,7,60,39,8
320907,2,1,1,2,1565.71428571429,7,66,39,9
306226,1,1,2,1,1273.33333333333,3,69,46,3
306224,1,1,2,1,1273.33333333333,3,71,46,7
319659,2,1,2,2,726.666666666667,3,46,1,13.5
619085,1,2,2,2,9600,3,45,20,15
730774,1,2,2,2,2003.33333333333,3,40,10,9.5
308914,1,2,2,2,2003.33333333333,3,42,10,10
310875,1,2,2,2,190,2,32,2,12
320500,1,2,1,2,4450,2,55,30,10
765344,1,1,2,2,3400,2,27,1,12.5
313587,4,1,2,2,10250,2,60,36,12
381559,4,1,2,2,10250,2,62,36,9.5
308805,4,2,2,2,13500,1,72,22,12
658477,1,1,2,2,20728.6666666667,3,52,1,16.5
770242,1,1,2,2,1891.22937011719,8,57,36,2
714588,1,1,2,2,1891.22937011719,8,60,36,5
323576,2,2,2,2,2018.07845052083,3,41,12,6
